gene_id	dmso_a	dmso_b	thz500_a	thz500_b	thz100_a	thz100_b	actinomycin150_a	actinomycin150_b	actinomycin10_a	actinomycin10_b
ENSG00000016391.10	1	0	1	1	2	1	0	0	0	1
ENSG00000016402.12	0	0	2	0	0	1	0	0	0	0
ENSG00000016490.15	0	0	0	0	0	0	0	0	0	1
ENSG00000016602.9	0	0	0	0	0	0	0	0	0	0
ENSG00000016864.16	1572	985	1052	893	1271	1632	1122	1497	1625	1107
ENSG00000017260.19	7332	4753	6910	5564	6197	6977	5814	6622	5862	3947
ENSG00000017427.15	0	0	0	1	0	0	0	0	0	1
ENSG00000017483.14	3	2	2	5	6	5	10	4	8	9
ENSG00000017797.11	2710	1789	1867	1522	2422	2725	1275	1543	2260	1553
ENSG00000018189.12	850	543	657	527	698	932	420	469	707	474
ENSG00000018236.14	0	0	0	1	1	0	0	0	0	1
ENSG00000018280.16	7	7	14	8	5	4	10	14	10	8
ENSG00000018408.14	8907	5413	5289	4644	7184	7438	3340	3611	5855	3802
